entity_id,nom_complet,dirigeant,fonction_dirigeant,mode_nomination,debut_mandat,composition,budget_mde,budget_annee,effectifs_etpt,effectifs_annee,indicateur_activite,source_budget,source_gouvernance,qualite_detail
cnil,Commission nationale de l'informatique et des libertés,Marie-Laure Denis,Présidente,Désignée par le président de la République parmi les membres du collège,2019,Collège de 18 membres ; formation restreinte distincte pour les sanctions,0.0282,2024,298,2024,44 977 plaintes traitées sur la période 2022-2024,https://www.cnil.fr/sites/default/files/2025-04/rapport_annuel_2024.pdf,https://www.cnil.fr/fr/fonctionnement/statut-et-organisation-de-la-cnil,Officiel récent
hatvp,Haute Autorité pour la transparence de la vie publique,Jean Maïa,Président,Nommé selon les dispositions de la loi du 11 octobre 2013,2024,Collège indépendant assisté de services administratifs,0.00982,2024,,,13 propositions formulées dans le rapport d'activité 2024,https://www.hatvp.fr/la-haute-autorite/linstitution/organisation/,https://www.hatvp.fr/rapports_activite/rapport_2024/,Officiel récent
cour_comptes,Cour des comptes,Amélie de Montchalin,Première présidente,Nommée par le président de la République en Conseil des ministres,2026-02-23,"Première présidence, chambres, parquet général et secrétariat général",,,,,Préside également le Haut Conseil des finances publiques et le Conseil des prélèvements obligatoires,https://www.ccomptes.fr/,https://www.ccomptes.fr/fr/communiques-presse/prise-de-fonctions-damelie-de-montchalin-la-premiere-presidence-de-la-cour-des,Gouvernance officielle récente
cnrs,Centre national de la recherche scientifique,Thierry Dauxois,Président-directeur général,Nommé par le président de la République sur proposition du ministre chargé de la Recherche,2026-06-10,"Direction générale, instituts scientifiques et délégations régionales",,,,,Organisme national de recherche multidisciplinaire,https://www.cnrs.fr/,https://www.cnrs.fr/fr/presse/thierry-dauxois-est-nomme-president-directeur-general-du-cnrs,Gouvernance officielle récente
france_travail,France Travail,Thibaut Guilluy,Directeur général,Nommé en Conseil des ministres,2023-12,"Direction générale, directions régionales et réseau territorial",,,,,Comité de direction générale composé de 10 membres en 2025,https://www.francetravail.org/,https://www.francetravail.org/accueil/communiques/thibaut-guilluy-succede-a-jean-basseres-a-la-direction-generale-de-pole-emploi-aujourdhui-france-travail.html,Gouvernance officielle
meteo,Météo-France,Virginie Schwarz,Présidente-directrice générale,Nommée par décret,2019,Directions centrales et directions interrégionales,,,,,Organigramme officiel actualisé au 6 juillet 2026,https://meteofrance.fr/etablissement,https://meteofrance.fr/etablissement/organisation/lorganigramme-de-meteo-france,Gouvernance officielle récente
arcep,"Autorité de régulation des communications électroniques, des postes et de la distribution de la presse",Laure de La Raudière,Présidente,Nommée par le président de la République après procédure parlementaire,2021,Collège de sept membres et services,,,,,"Régulation des télécoms, postes et distribution de la presse",https://www.arcep.fr/larcep/rapports-publics-dactivite.html,https://www.arcep.fr/larcep/organisation/le-college.html,Gouvernance officielle
arcom,Autorité de régulation de la communication audiovisuelle et numérique,Martin Ajdari,Président,Nommé par le président de la République après avis des commissions parlementaires,2025,Collège et direction générale,,,,,Projet stratégique 2026-2028 publié en mai 2026,https://www.arcom.fr/se-documenter/etudes-et-donnees/etudes-bilans-et-rapports-de-larcom/rapport-annuel-2024-de-larcom,https://www.arcom.fr/nous-connaitre/notre-institution,Gouvernance officielle récente
amf,Autorité des marchés financiers,Marie-Anne Barbat-Layani,Présidente,Nommée par décret du président de la République,2022,"Collège, commission des sanctions et services",,,,,Régulation et supervision des marchés financiers,https://www.amf-france.org/fr/actualites-publications/rapports-annuels,https://www.amf-france.org/fr/lamf/notre-organisation,Gouvernance officielle
ademe,Agence de la transition écologique,Sylvain Waserman,Président-directeur général,Nommé par décret,2022,"Conseil d'administration, présidence et directions nationales/régionales",,,,,"Expertise, accompagnement et financement de la transition écologique",https://www.ademe.fr/lademe/rapport-activite/,https://www.ademe.fr/lademe/organisation/,Gouvernance officielle
